Car Brand,Mileage (km),Year of Make,Price (USD)
Lexus,71976,2017,19752
Lexus,135501,2006,13370
Audi,124818,2016,40531
Lexus,33851,2013,17420
Audi,9982,2008,22196
Lexus,7655,2005,42680
Audi,132519,2009,42402
Audi,121088,2012,13166
Audi,145666,2023,18364
Audi,113599,2021,18630
Lexus,39801,2022,23450
Lexus,31152,2016,46364
Audi,63556,2018,28461
Audi,86457,2010,48913
Lexus,130186,2018,28565
Lexus,91010,2013,16600
Lexus,69448,2005,24632
Lexus,123075,2020,39784
Audi,100614,2016,45498
Lexus,5847,2012,25465
Audi,93191,2022,21826
Audi,100866,2006,29764
Audi,66447,2018,44022
Lexus,105606,2009,35405
Lexus,83455,2013,37350
Lexus,100561,2005,46838
Lexus,130157,2018,11066
Lexus,123180,2011,42621
Audi,144179,2017,27334
Lexus,109253,2017,12444
Audi,72488,2008,20353
Lexus,135439,2006,24473
Lexus,22416,2019,42725
Audi,72990,2010,42577
Audi,110246,2010,23582
Lexus,106812,2008,46072
Audi,24917,2021,24889
Audi,53684,2010,18203
Lexus,38682,2015,26755
Audi,133577,2005,15474
Audi,132790,2009,14501
Audi,137845,2011,16090
Lexus,115664,2012,17181
Audi,23278,2021,21633
Lexus,128355,2022,32527
Lexus,93744,2012,44560
Lexus,101511,2013,25740
Lexus,133177,2009,34716
Lexus,147547,2017,43761
Audi,61448,2018,14307
Audi,7529,2010,46871
Lexus,95702,2009,44139
Lexus,100884,2017,24710
Lexus,143663,2023,37965
Lexus,46256,2023,11075
Lexus,114481,2009,41886
Audi,66892,2010,46998
Audi,111314,2018,26808
Audi,138249,2009,38963
Audi,105599,2009,13644
Lexus,124420,2022,45580
Audi,51121,2022,34825
Lexus,24667,2018,11867
Audi,17308,2014,38628
Lexus,94606,2010,44713
Audi,23418,2014,20039
Audi,58905,2021,35277
Lexus,109495,2010,28817
Audi,131614,2011,28319
Audi,20834,2007,46286
Lexus,113276,2012,31586
Audi,91435,2014,44846
Lexus,64063,2019,47067
Lexus,133323,2021,35975
Audi,101464,2022,44111
Lexus,128000,2011,43348
Audi,143056,2006,11892
Lexus,98990,2015,30089
Lexus,69753,2021,33878
Audi,92873,2015,12079
Audi,75068,2021,49190
Lexus,128393,2008,31181
Audi,20406,2015,23781
Lexus,41337,2011,27851
Lexus,27425,2022,38245
Lexus,129496,2010,44915
Audi,69632,2018,29328
Lexus,36210,2008,20182
Audi,114294,2005,39024
Lexus,92018,2006,39546
Audi,9466,2014,41263
Lexus,39824,2018,48538
Audi,98684,2022,47701
Lexus,95551,2018,11005
Audi,92378,2013,24536
Lexus,91945,2018,49350
Audi,77546,2017,39872
Lexus,16843,2006,14157
Lexus,30399,2005,34963
Lexus,140784,2022,48787
Lexus,21730,2008,22549
Lexus,58668,2022,14610
Audi,28233,2006,23232
Lexus,46293,2016,22308
Lexus,58169,2016,49672
Lexus,101599,2022,24756
Lexus,63061,2022,24027
Lexus,38858,2022,20584
Audi,126859,2010,49465
Lexus,129315,2009,11382
Lexus,131647,2018,20002
Lexus,115809,2010,23641
Audi,42326,2019,10761
Audi,145382,2023,35631
Audi,80158,2015,41330
Lexus,36908,2014,40566
Audi,42508,2017,17744
Lexus,27391,2013,35204
Audi,106433,2015,14320
Lexus,149681,2006,26832
Lexus,12323,2015,16697
Audi,22478,2012,23459
Audi,80872,2015,43431
Lexus,79018,2011,37613
Audi,53740,2016,14090
Audi,10853,2008,33141
Lexus,47273,2008,47991
Audi,132920,2012,17371
Lexus,28627,2008,31562
Audi,93195,2008,43959
Lexus,143143,2015,22429
Audi,68326,2020,18325
Audi,146667,2020,15289
Audi,35949,2017,22400
Lexus,50159,2014,45936
Lexus,123325,2014,40417
Lexus,124691,2013,40000
Lexus,66418,2016,45834
Lexus,132017,2013,39369
Audi,148636,2012,25253
Audi,30033,2015,26182
Audi,15538,2023,38721
Lexus,67821,2021,31395
Lexus,76253,2009,26333
Audi,113985,2015,36671
Audi,78449,2013,14423
Lexus,138138,2021,23119
Audi,19148,2005,37858
Lexus,91582,2005,38101
Audi,45948,2021,27390
Audi,63827,2019,12085
Lexus,24266,2022,22299
Audi,109719,2015,13691
Audi,20162,2012,44428
Lexus,71603,2005,37291
Audi,38007,2008,29387
Lexus,44531,2008,30592
Lexus,146166,2012,21569
Audi,139373,2023,42874
Lexus,69727,2017,27406
Audi,85057,2009,27845
Audi,121835,2006,29687
Audi,137578,2016,13817
Lexus,137580,2007,41662
Lexus,109305,2016,23837
Audi,51740,2015,33793
Audi,109020,2006,44855
Lexus,56659,2013,32570
Lexus,81834,2018,18175
Lexus,65695,2017,18691
Audi,63305,2015,45256
Audi,97622,2006,40099
Lexus,15725,2008,41412
Lexus,64451,2017,11418
Lexus,8549,2018,37807
Lexus,57561,2006,17337
Lexus,45735,2008,32432
Lexus,44705,2014,41949
Lexus,114573,2012,26603
Audi,6990,2018,28184
Lexus,129666,2022,34962
Audi,120020,2018,17352
Audi,34121,2017,33744
Lexus,31381,2019,20373
Lexus,19927,2017,15897
Lexus,24998,2015,41102
Lexus,142766,2007,13633
Audi,61987,2021,36799
Lexus,110804,2005,14117
Lexus,69350,2017,33001
Lexus,130674,2018,28467
Lexus,140662,2012,19636
Lexus,139715,2005,25532
Lexus,66913,2008,30570
Lexus,137581,2022,12965
Audi,124937,2021,48380
Audi,133856,2015,14625
Audi,51917,2011,43683
Audi,13668,2013,21154
Lexus,33116,2013,12344
Lexus,67042,2005,45970
Audi,113898,2018,44075
Lexus,77017,2016,23521
Audi,122298,2007,19504
Audi,26155,2006,25581
Lexus,16034,2011,43204
Audi,77566,2013,28251
Audi,70416,2017,43590
Audi,39368,2010,25235
Lexus,70228,2005,18547
Lexus,81709,2009,45317
Lexus,36517,2021,24803
Audi,95552,2013,12303
Audi,54129,2015,41141
Audi,87565,2008,10601
Lexus,131858,2011,30425
Audi,71362,2006,32007
Audi,130891,2011,27801
Audi,58856,2021,40286
Audi,96962,2011,48389
Audi,20169,2010,48787
Lexus,25126,2019,32702
Audi,107992,2023,39086
Lexus,127497,2006,14303
Audi,88745,2005,45148
Audi,79111,2012,48574
Lexus,102474,2008,13216
Audi,25809,2008,44114
Lexus,41230,2020,33014
Audi,90871,2007,24270
Audi,40107,2019,18191
Lexus,107516,2021,20722
Lexus,86543,2019,49242
Lexus,48936,2011,13292
Lexus,75749,2007,10705
Audi,95648,2017,30557
Lexus,140892,2015,22547
Lexus,123000,2005,27675
Lexus,100253,2007,34703
Lexus,65084,2015,31888
Lexus,80892,2015,19121
Lexus,140476,2005,11105
Audi,35503,2006,38630
Lexus,96160,2009,25210
Audi,149635,2018,29731
Lexus,138073,2005,16539
Audi,144703,2015,39832
Lexus,28194,2017,15769
Audi,110487,2018,11046
Audi,143343,2006,35129
Lexus,131398,2015,25579
Lexus,64740,2017,26094
Lexus,113106,2011,28852
Audi,21894,2023,19553
Lexus,79094,2010,47634
Audi,29820,2010,29788
Audi,149616,2018,43641
Lexus,144343,2021,15946
Audi,6937,2008,26555
Audi,12764,2012,41184
Audi,120539,2022,13457
Audi,22570,2013,34979
Lexus,114945,2023,34433
Lexus,10863,2009,31379
Audi,44391,2018,14038
Audi,94462,2012,30223
Lexus,84248,2013,49930
Audi,46386,2012,42400
Audi,147614,2017,17656
Lexus,105931,2014,29708
Audi,137391,2018,20282
Audi,84286,2012,22297
Audi,116821,2017,26937
Audi,98231,2007,30027
Lexus,88575,2008,38981
Audi,116538,2012,49464
Audi,121832,2011,44230
Audi,7315,2010,29376
Lexus,135699,2015,43071
Lexus,123564,2020,23631
Lexus,146247,2010,20167
Audi,135677,2017,27724
Lexus,105910,2005,25111
Lexus,68625,2016,12217
Audi,95899,2012,36282
Lexus,66382,2014,37044
Lexus,39414,2018,29936
Lexus,72169,2010,28309
Lexus,52740,2016,38943
Lexus,34045,2010,42070
Audi,132459,2022,26676
Lexus,140702,2022,48264
Audi,94659,2007,29984
Lexus,89142,2018,15107
Lexus,59363,2018,49165
Lexus,72867,2009,43269
Audi,107890,2021,49669
Lexus,31746,2005,35550
Lexus,28554,2011,14040
Audi,30895,2015,16061
Lexus,63256,2022,27685
Lexus,60599,2009,17402
Lexus,65454,2015,34995
Lexus,119224,2010,28491
Lexus,57099,2017,43854
Audi,79522,2007,21455
Lexus,39405,2020,15329
Audi,48641,2015,20376
Lexus,63670,2017,10203
Lexus,120529,2012,45330
Audi,146943,2018,42588
Audi,12749,2009,44649
Lexus,73523,2007,19329
Audi,50611,2010,35094
Audi,30591,2020,16288
Lexus,118333,2010,32140
Lexus,16080,2011,39449
Audi,119954,2013,10137
Audi,123947,2022,41665
Lexus,134006,2011,20021
Audi,56276,2019,38292
Lexus,68642,2013,42321
Audi,83737,2018,15292
Audi,132779,2005,28617
Lexus,43792,2023,44738
Audi,76352,2011,49599
Audi,18119,2023,24764
Audi,9015,2017,23981
Audi,141525,2013,34062
Audi,33923,2021,20829
Lexus,55603,2019,37165
Audi,121764,2017,44364
Audi,122704,2018,28634
Lexus,77226,2020,45120
Audi,47227,2011,37453
Audi,21236,2016,45863
Audi,79950,2019,26414
Audi,108045,2006,40402
Lexus,27800,2023,35580
Lexus,34860,2015,19534
Audi,71222,2006,34639
Audi,44291,2006,33095
Audi,58250,2005,46004
Lexus,77092,2012,18653
Audi,12080,2014,34161
Lexus,134384,2011,22319
Lexus,17109,2019,13916
Lexus,76220,2009,42813
Audi,46250,2021,46530
Audi,17072,2012,25079
Lexus,133894,2016,30373
Lexus,37866,2016,47594
Lexus,99672,2015,42574
Lexus,69622,2015,48547
Audi,54310,2021,19159
Audi,102144,2020,33609
Lexus,96617,2014,28568
Lexus,110078,2015,49792
Audi,7874,2022,43788
Audi,7842,2009,21476
Lexus,39808,2022,32592
Lexus,105090,2022,19719
Audi,144683,2020,42224
Lexus,33036,2017,35286
Audi,54522,2011,15142
Lexus,60015,2022,13233
Lexus,119176,2010,11508
Lexus,20409,2009,12243
Audi,115884,2010,40820
Audi,139071,2022,32309
Audi,147916,2019,34837
Audi,64778,2013,37782
Lexus,33232,2013,34432
Lexus,83956,2009,33058
Lexus,59156,2020,46927
Audi,88553,2022,22501
Audi,105298,2019,46475
Audi,143448,2007,44085
Audi,83414,2013,22021
Lexus,39048,2016,34893
Lexus,43092,2016,47036
Lexus,27361,2021,38218
Audi,61039,2020,26130
Lexus,116468,2014,36497
Lexus,93650,2006,13668
Audi,118996,2014,48513
Lexus,14194,2008,33840
Lexus,86232,2007,45828
Audi,118288,2006,20399
Lexus,22472,2011,32956
Audi,135220,2023,21649
Audi,41376,2020,32729
Audi,94353,2018,27537
Lexus,74735,2008,48692
Audi,40313,2014,40522
Audi,99719,2008,10897
Audi,80865,2013,21855
Audi,11444,2007,25426
Audi,77462,2018,31992
Audi,135434,2010,42965
Lexus,20387,2009,45593
Audi,126522,2014,21936
Lexus,66358,2022,49194
Lexus,121414,2016,19404
Audi,26978,2010,40314
Lexus,16496,2022,15092
Lexus,69748,2007,28180
Lexus,75894,2022,45107
Audi,6874,2009,41811
Lexus,48300,2013,24647
Lexus,114306,2018,29614
Lexus,9199,2015,41412
Audi,93569,2013,34275
Lexus,135229,2014,11012
Audi,126032,2006,30953
Lexus,142248,2008,10115
Audi,42583,2010,37214
Lexus,41141,2017,31470
Audi,122535,2021,41131
Audi,81103,2014,27851
Lexus,27823,2010,36454
Lexus,145994,2023,12008
Lexus,149463,2023,12600
Audi,40527,2011,11984
Audi,24410,2013,15591
Audi,64916,2016,23990
Audi,81491,2017,35692
Audi,103530,2020,44578
Lexus,5691,2020,47101
Lexus,20888,2007,46766
Lexus,149599,2016,16308
Lexus,50063,2006,30447
Lexus,19189,2017,19956
Lexus,43414,2010,10181
Audi,119675,2018,39926
Audi,135675,2017,29270
Audi,32742,2008,33455
Audi,12898,2013,39052
Audi,20848,2022,18702
Audi,109588,2005,47838
Lexus,41393,2018,29378
Lexus,47524,2016,31389
Lexus,43970,2015,15694
Audi,24570,2018,16774
Lexus,60351,2014,49414
Audi,87332,2022,18183
Lexus,66205,2019,40634
Audi,71009,2013,32636
Lexus,60679,2014,42522
Lexus,142834,2012,49760
Audi,65704,2014,47183
Audi,143103,2015,15919
Lexus,5131,2014,15580
Audi,137652,2022,42992
Audi,74784,2007,34802
Audi,54329,2015,12404
Audi,103178,2005,43811
Audi,12829,2006,46305
Audi,66788,2011,40352
Audi,88735,2005,16364
Lexus,57915,2017,34492
Audi,75353,2020,23742
Audi,40045,2019,48692
Audi,53887,2021,20887
Lexus,51508,2009,38260
Audi,13869,2023,13632
Audi,99389,2018,16310
Lexus,82873,2008,47621
Audi,11673,2018,15855
Lexus,45230,2016,45526
Lexus,30876,2015,37460
Audi,92926,2018,22014
Lexus,62657,2015,35399
Lexus,143563,2014,23843
Lexus,125788,2007,10805
Audi,82534,2016,34058
Lexus,68258,2020,11948
Lexus,82615,2019,18695
Lexus,125647,2008,12346
Audi,132206,2020,23580
Audi,83214,2009,12529
Lexus,149142,2011,15392
Lexus,86291,2015,48450
Audi,80237,2008,28794
Audi,119409,2021,15938
Audi,120684,2007,11268
Audi,99841,2008,13921
Lexus,75703,2011,41009
Lexus,102460,2006,27255
Audi,5897,2012,38921
Lexus,78439,2006,37247
Lexus,11453,2019,15457
Audi,21878,2016,38477
Lexus,105226,2022,18123
Lexus,71736,2011,39520
Lexus,138536,2008,40046
Lexus,23640,2014,30917
Lexus,111961,2010,13175
Lexus,8876,2017,25433
Audi,37462,2008,17282
Lexus,106154,2022,13132
Audi,67363,2017,47174
Audi,31689,2014,40605
Lexus,121343,2015,20859
Lexus,89139,2014,27795
Lexus,9856,2010,18804
Audi,143140,2019,31541
Lexus,21222,2007,12125
Audi,12264,2021,30807
Audi,54039,2017,36112
Audi,36710,2014,13291
Audi,141261,2021,21833
Audi,98557,2023,41670
Lexus,11861,2020,37459
Audi,62346,2010,33018
Audi,115102,2010,29402
Lexus,81714,2017,18702
Lexus,56613,2007,21422
Audi,14009,2014,10385
Lexus,5877,2021,46300
Audi,149597,2009,10831
Lexus,90775,2022,11383
Audi,121164,2008,17765
Lexus,65790,2011,34750
Audi,38885,2011,25665
Lexus,37983,2014,38128
Audi,108344,2021,27086
Lexus,27599,2022,29228
Audi,45778,2022,29758
Lexus,82019,2010,33243
Audi,54440,2017,13881
Lexus,10314,2009,32704
Lexus,78887,2013,15385
Audi,112851,2020,17481
Audi,103154,2023,25046
Audi,27310,2016,47925
Lexus,77434,2020,47179
Audi,145553,2011,43836
Audi,43680,2020,33831
Lexus,123537,2022,13943
Lexus,142935,2016,43808
Audi,17523,2015,32934
Audi,28710,2022,21150
Lexus,128625,2016,18665
Audi,72765,2011,10413
Lexus,6600,2005,44800
Audi,107193,2018,12836
Audi,126209,2014,18447
Lexus,134274,2014,27373
Lexus,48772,2016,23126
Audi,12816,2019,16163
Lexus,11260,2022,18172
Lexus,37433,2012,16764
Lexus,129741,2017,14298
Audi,33230,2013,48707
Audi,99025,2007,21764
Lexus,45066,2020,49781
Audi,11368,2007,41017
Lexus,64397,2016,27913
Lexus,68854,2021,13954
Lexus,77971,2007,31418
Lexus,56191,2023,46439
Lexus,20876,2011,10196
Lexus,55783,2011,21524
Audi,103135,2023,10797
Audi,46672,2017,16149
Lexus,15256,2017,11616
Lexus,45163,2020,44867
Audi,30347,2014,13140
Audi,128455,2017,45109
Lexus,28042,2008,24324
Audi,20310,2013,22568
Audi,107156,2022,22788
Audi,106070,2016,16704
Audi,37889,2014,27567
Audi,39553,2006,36305
Lexus,100110,2022,31620
Audi,28528,2009,43672
Lexus,86346,2005,43023
Lexus,132745,2021,37198
Audi,118833,2007,33858
Lexus,36318,2011,22911
Lexus,63256,2017,24925
Lexus,21310,2005,23645
Audi,69691,2018,22506
Audi,19674,2018,22760
Audi,91967,2019,29983
Lexus,64200,2008,16872
Lexus,93079,2022,47585
Audi,148261,2012,26161
Lexus,71895,2021,29130
Lexus,83420,2009,39568
Audi,122874,2007,19753
Audi,55126,2021,12658
Lexus,90714,2009,19876
Audi,100930,2006,37221
Audi,54309,2009,48743
Audi,50178,2018,39743
Lexus,13593,2005,12775
Lexus,49941,2020,32967
Audi,114644,2020,14391
Lexus,147133,2007,17293
Audi,126556,2011,18919
Audi,78936,2015,30838
Lexus,142484,2023,42509
Audi,29026,2014,29555
Audi,64329,2014,31789
Lexus,49688,2012,37139
Audi,149130,2017,24551
Lexus,141892,2007,29461
Lexus,10837,2012,31382
Lexus,58101,2011,35509
Audi,42937,2023,14802
Audi,110130,2009,49532
Lexus,56161,2020,11320
Lexus,139492,2011,10800
Lexus,62957,2013,11532
Lexus,28336,2015,18048
Audi,67566,2016,43566
Audi,17672,2005,21073
Audi,25842,2013,33444
Audi,135867,2013,47543
Lexus,16708,2009,44646
Lexus,66519,2013,24456
Lexus,69082,2022,21131
Lexus,101808,2018,14639
Lexus,65578,2012,36302
Audi,79689,2016,48745
Audi,9086,2010,38714
Audi,143250,2023,18814
Lexus,108508,2017,40389
Lexus,30532,2006,36777
Lexus,88571,2020,42294
Audi,52004,2005,22079
Lexus,141869,2019,47886
Audi,69251,2018,29431
Lexus,149579,2012,20659
Lexus,142463,2006,22487
Lexus,138215,2006,20347
Lexus,124681,2020,20663
Lexus,115785,2014,11080
Audi,38231,2006,43849
Lexus,58540,2007,33849
Lexus,28445,2006,13299
Lexus,37940,2022,29683
Lexus,149843,2012,10261
Lexus,92041,2008,43684
Audi,96202,2020,25370
Lexus,7347,2008,42284
Audi,23189,2011,39459
Lexus,49688,2015,49593
Lexus,99232,2017,45631
Audi,26846,2014,16636
Audi,97130,2021,40311
Audi,56788,2008,25472
Audi,48656,2009,41459
Lexus,108234,2015,36055
Lexus,119898,2007,36680
Audi,66781,2007,47189
Audi,9277,2014,25432
Lexus,50182,2006,47857
Audi,109185,2012,19799
Lexus,123298,2023,21737
Audi,79823,2007,22715
Audi,84167,2013,20554
Lexus,120191,2020,11758
Lexus,75956,2011,10569
Lexus,145033,2014,11567
Audi,63975,2019,43050
Audi,12961,2010,11121
Lexus,5922,2015,17733
Lexus,106247,2007,32216
Audi,58102,2007,30991
Audi,16611,2012,44046
Lexus,26852,2013,30609
Lexus,52335,2017,42450
Lexus,31820,2018,35244
Lexus,7011,2006,22013
Audi,138696,2005,48148
Lexus,140973,2009,37354
Lexus,117380,2008,10000
Audi,29396,2019,35948
Audi,15977,2016,13225
Lexus,46269,2016,31490
Audi,139692,2009,30476
Lexus,9463,2012,22571
Audi,73210,2014,16894
Audi,123755,2016,11842
Audi,11008,2013,24429
Lexus,52375,2005,45478
Lexus,49166,2005,13246
Audi,50546,2008,25188
Audi,81234,2021,15124
Audi,23319,2023,28751
Audi,88759,2012,39862
Audi,103564,2009,41196
Lexus,99737,2013,45482
Lexus,85959,2019,47701
Lexus,41748,2017,10153
Audi,129551,2015,41701
Audi,67256,2009,19118
Lexus,58490,2014,25266
Lexus,40251,2006,44113
Lexus,70462,2013,44539
Audi,79086,2010,44642
Audi,13177,2008,20179
Lexus,146074,2012,48752
Lexus,16622,2017,42286
Lexus,145257,2014,45923
Audi,45123,2005,26106
Audi,14441,2009,20276
Audi,47437,2012,32784
Audi,100167,2010,43508
Lexus,98677,2007,14904
Audi,145102,2005,15611
Audi,59199,2016,18844
Audi,16638,2017,41756
Lexus,5015,2009,28035
Lexus,49587,2022,37934
Lexus,94230,2019,35497
Lexus,138487,2008,37426
Lexus,21357,2013,36199
Audi,93006,2010,27584
Lexus,22683,2010,31695
Lexus,74680,2009,15733
Audi,5591,2023,43314
Lexus,42778,2021,49658
Lexus,107306,2015,22046
Lexus,9610,2007,39418
Audi,36373,2018,40339
Audi,147092,2006,15123
Audi,84282,2022,23177
Lexus,103888,2008,32291
Audi,81077,2016,43573
Lexus,8088,2016,32321
Lexus,81050,2007,30312
Audi,19767,2005,29629
Lexus,98409,2019,12308
Lexus,44022,2018,19737
Audi,135787,2012,13896
Lexus,53702,2021,15518
Lexus,108482,2011,32851
Audi,115735,2016,21799
Lexus,146740,2012,24688
Lexus,144372,2008,15085
Audi,96674,2014,43639
Audi,80690,2010,15693
Lexus,128831,2018,34848
Audi,127146,2010,26018
Audi,116045,2008,23037
Lexus,122696,2019,44142
Lexus,89486,2018,28013
Audi,16708,2018,21342
Lexus,139621,2023,39077
Audi,129006,2013,12574
Audi,105237,2011,42018
Lexus,49896,2015,38861
Lexus,87931,2018,15742
Audi,125013,2007,20853
Lexus,147862,2015,26388
Audi,13920,2021,45083
Audi,71068,2017,33696
Lexus,104513,2011,25501
Audi,9281,2013,26390
Audi,6171,2017,11015
Audi,11888,2007,25984
Lexus,52526,2008,40478
Lexus,68954,2014,30289
Audi,61944,2007,29611
Lexus,97785,2006,36155
Lexus,110910,2017,12731
Audi,123617,2021,24009
Audi,120604,2010,25371
Audi,139342,2011,36854
Audi,41008,2005,36563
Lexus,50450,2017,39113
Audi,11778,2011,26492
Lexus,37627,2008,44568
Lexus,78175,2013,17433
Lexus,107765,2019,48950
Lexus,69508,2017,46554
Lexus,59715,2011,14337
Lexus,144617,2007,43894
Audi,40858,2019,12861
Lexus,81273,2011,16687
Lexus,84957,2009,49180
Lexus,94275,2006,45960
Lexus,29021,2023,20443
Audi,77636,2018,16869
Lexus,10409,2014,27129
Lexus,118027,2009,19360
Audi,9114,2010,34345
Lexus,66947,2016,45867
Audi,89176,2006,48098
Lexus,88265,2020,11169
Lexus,106055,2023,44660
Audi,86198,2012,15837
Lexus,35167,2017,45158
Audi,48479,2013,39757
Audi,54934,2020,29568
Audi,145057,2015,39402
Audi,131395,2007,46549
Audi,77065,2011,25961
Lexus,31924,2015,17167
Audi,46259,2009,48964
Audi,123698,2008,11398
Audi,106400,2009,34551
Lexus,73145,2023,42738
Lexus,44736,2007,35698
Audi,96345,2011,42366
Audi,117229,2016,11238
Audi,35519,2007,19451
Audi,51293,2019,19429
Lexus,17960,2017,12090
Audi,68903,2016,11859
Lexus,59251,2015,29855
Audi,81099,2005,48977
Audi,33632,2006,28363
Audi,70026,2009,11085
Audi,63887,2012,38003
Lexus,95003,2005,25790
Lexus,125319,2016,22628
Lexus,109967,2020,40697
Audi,59972,2019,36349
Audi,89030,2016,36588
Lexus,31253,2017,44615
Audi,107289,2014,22554
Lexus,122793,2006,23194
Audi,9430,2014,42235
Audi,119337,2013,30677
Audi,51997,2007,31194
Lexus,25877,2009,15808
Audi,147268,2021,23210
Audi,67717,2016,29732
Lexus,142760,2019,22321
Lexus,78523,2009,23724
Audi,73330,2006,20330
Audi,53686,2017,24179
Audi,112207,2018,40199
Audi,100809,2009,25261
Lexus,117387,2017,37337
Lexus,134678,2022,26483
Lexus,75129,2009,13088
Audi,76248,2017,21821
Audi,113682,2007,34908
Audi,62634,2023,30479
Lexus,11170,2014,28480
Audi,106223,2021,39324
Audi,32170,2008,24221
Audi,46391,2022,39315
Lexus,11477,2009,11909
Lexus,78028,2017,16699
Audi,55977,2022,19880
Audi,38959,2022,44875
Lexus,67829,2007,38558
Lexus,111549,2014,14698
Audi,117609,2006,14895
Audi,147191,2014,17801
Audi,135372,2013,37669
Lexus,5679,2013,10636
Lexus,34717,2009,38541
Lexus,133773,2015,12973
Audi,78962,2013,46321
Audi,106827,2006,18359
Lexus,34785,2010,27641
Lexus,136267,2006,16730
Lexus,149973,2006,19560
Audi,135293,2006,17114
Audi,21434,2014,47900
Audi,116740,2006,46474
Lexus,5011,2013,26685
Audi,108443,2009,20180
Lexus,7328,2014,48720
Audi,52328,2021,19675
Lexus,28762,2016,18367
Audi,85134,2005,44333
Lexus,109735,2021,13109
Lexus,139822,2023,40279
Lexus,116055,2009,21282
Audi,144945,2020,14091
Lexus,132329,2012,18406
Lexus,37658,2010,14743
Audi,39540,2017,43815
Lexus,56451,2022,34957
Audi,19217,2018,18526
Lexus,32177,2015,47020
Audi,86070,2016,49836
Audi,109857,2014,34905
Lexus,124594,2017,39510
Audi,37748,2007,18748
Lexus,119352,2016,45179
Lexus,13467,2011,34083
Lexus,46474,2021,45731
Audi,98275,2013,29981
Lexus,110074,2018,17176
Audi,115220,2011,16151
Lexus,27039,2014,47164
Audi,125509,2008,41023
Lexus,121948,2015,42026
Lexus,105179,2013,37764
Lexus,91877,2007,27104
Lexus,144370,2015,28725
Audi,93325,2018,49716
Audi,105523,2017,24281
Audi,110869,2018,26359
Audi,16926,2021,41512
Lexus,44923,2008,35397
Audi,8981,2008,47486
Audi,17015,2021,26688
Audi,84606,2023,44169
Audi,53351,2013,13753
Audi,80831,2014,19912
Audi,133891,2023,41808
Audi,10442,2016,23974
Lexus,28649,2020,45527
Lexus,114317,2005,49480
Lexus,19942,2014,19707
Audi,15932,2017,44299
Lexus,135165,2006,11523
Audi,132828,2015,42797
Lexus,43587,2021,10510
Lexus,31512,2019,43932
Audi,144063,2014,11231
Audi,79491,2018,23000
Audi,132511,2015,23102
Audi,126149,2011,12791
Audi,69496,2020,11433
Audi,101986,2010,20523
Lexus,101403,2012,20093
Audi,74460,2013,35143
Lexus,43166,2014,33113
Audi,134676,2020,41295
Lexus,107440,2014,37191
Lexus,118033,2023,20478
Lexus,100751,2005,30371
Audi,102483,2023,42889
Audi,94569,2023,37003
Audi,120738,2014,36766
Lexus,95182,2013,19623
Audi,39134,2022,30447
Lexus,22462,2016,44973
Lexus,109165,2005,49611
Audi,26761,2016,23702
Lexus,32982,2008,27993
Lexus,64566,2020,14232
Lexus,98071,2021,23763
Lexus,142783,2020,37470
Audi,32251,2020,42015
Lexus,137938,2007,47638
Audi,62714,2012,14331
Lexus,19444,2005,48787
Lexus,88669,2010,16071
Lexus,37437,2014,24189
Lexus,82049,2010,35174
Lexus,6797,2007,38652
Lexus,19409,2012,40429
Audi,28863,2014,16781
Lexus,82215,2022,38572
Audi,51770,2023,25362
Audi,124992,2014,28497
Audi,19732,2022,32864
Audi,33461,2008,38965
Audi,136363,2012,17766
Audi,33092,2006,38145
Lexus,67174,2012,25864
Lexus,23395,2015,27045
Audi,63682,2008,49650
Lexus,51458,2016,19413
Audi,34686,2005,22861
Lexus,112917,2015,31308
Lexus,137786,2013,20903
Lexus,131524,2018,46341
Audi,132909,2009,26203
Lexus,125572,2007,18609
Audi,95095,2017,14055
Audi,145354,2014,46263
Audi,142976,2009,25334
Lexus,83605,2013,41586
Audi,99183,2010,10025
Audi,141454,2010,36884
Audi,15949,2023,41492
Audi,57731,2017,31269
Audi,100907,2010,34252
Lexus,46502,2023,33778
Audi,13671,2005,38135
Lexus,143060,2013,38834
Lexus,67445,2022,20460
Audi,118317,2006,45644
Audi,7180,2020,34215
Audi,25014,2021,28881
Audi,127616,2012,38400
Audi,134872,2018,25819
Lexus,139300,2006,19824
Audi,131674,2023,41004
Lexus,59663,2015,47385
Lexus,134092,2022,28226
Lexus,124979,2007,17839
Lexus,17314,2010,49079
Lexus,130899,2011,33059
Audi,45516,2008,43570
Lexus,53310,2014,28787
Lexus,54185,2022,12339
Lexus,97524,2012,48989
Audi,66709,2010,42234
Lexus,85063,2006,31240
Audi,132025,2007,44204
Audi,95983,2006,30503
Lexus,87153,2018,24959
Audi,67672,2012,43247
Audi,76920,2008,15746
Audi,22039,2006,25511
Lexus,64958,2006,43424
Lexus,99955,2008,33730
Lexus,68451,2016,20820
Lexus,91405,2019,30420
Audi,126017,2021,26045
Audi,128137,2018,41775
Lexus,19729,2005,45140
Audi,143005,2018,16891
Audi,60459,2017,11981
Audi,31135,2006,15906
Audi,88607,2010,10671
Audi,24185,2022,31617
Audi,72763,2017,15109
Audi,70937,2010,18206
Audi,26193,2016,11115
Lexus,91411,2012,32870
Lexus,13615,2008,37597
Lexus,56595,2008,18617
Audi,68951,2007,30905
Audi,101275,2013,39266
Audi,5202,2015,47713
Audi,132800,2013,28047
Lexus,66604,2012,31184
